FINANCE_ID;ID_REMAX;TAXES_MUNICIPALES;TAXES_SCOLAIRES;EVALUATION_BATIMENT;EVALUATION_MUNICIPALE;EVALUATION_TERRAIN
1;26013325;1509;124;101300;111600;10300
2;19909549;;;391600;501400;109800
3;14372056;3755;736;377800;514000;136200
4;14923360;2608;301;173500;253000;79500
5;14279516;1794;380;184600;197500;12900
6;22027607;2674;226;155100;178300;23200
7;26888978;2405;318;174500;265700;91200
8;22084186;1662;353;152300;185000;32700
9;14371921;1662;176;156900;201100;44200
10;12981836;1040;;65700;89200;23500
11;19292461;7146;1002;501000;750000;249000
12;13917785;1600;345;164700;176200;11500
13;17535365;2307;243;99100;123900;24800
14;14551882;2594;466;159600;285600;126000
15;21264976;1991;;93100;113200;20100
16;19145651;1981;270;150300;211700;61400
17;12865880;1816;380;182600;199900;17300
18;9736715;1420;538;144000;322500;178500
19;17546793;2553;358;122200;190400;68200
20;28362642;;;71000;92600;21600
21;15982544;3158;373;182400;268100;85700
22;10038716;2970;305;219000;323000;104000
23;13266413;4208;641;349800;446200;96400
24;20681756;2048;180;102100;152100;50000
25;14627185;2436;203;;355300;355300
26;13637247;3517;796;233500;478300;244800
27;21647717;2213;235;182000;209000;27000
28;13617790;1806;424;172300;264500;92200
29;14585324;3853;500;278700;378100;99400
30;11802374;3338;493;175800;352600;176800
31;27776787;1947;380;198500;214300;15800
32;26766752;2258;532;193800;323400;129600
33;13353717;16460;3022;465800;2034800;1569000
34;18492709;1723;345;177300;189700;12400
35;16949699;1517;167;100600;120400;19800
36;20891259;2150;393;214900;289390;74490
37;18680283;1348;265;228900;274700;45800
38;27866607;1172;116;93400;132500;39100
39;23562415;947;;22900;34200;11300
40;21931910;2061;135;58000;153000;95000
41;28077024;1500;350;84300;109900;25600
42;25944260;2046;228;157000;189000;32000
43;26042588;2002;340;216700;347700;131000
44;20213474;3752;785;386000;548100;162100
45;26732736;2504;400;204900;291200;86300
46;28600931;1107;196;121400;155800;34400
47;23409855;2548;298;279700;316500;36800
48;12091107;2329;196;102700;183700;81000
49;17494486;2766;508;205400;266200;60800
50;19841907;4632;718;361700;617100;255400
51;25616484;2949;342;165000;280000;115000
52;13034788;1117;118;78600;90900;12300
53;25592035;1835;163;87900;147800;59900
54;12782121;1985;353;152500;258200;105700
55;12127700;2460;415;265100;301600;36500
56;23816069;4053;544;241900;429600;187700
57;19339735;2196;192;190700;206200;15500
58;13112506;1744;296;77000;167900;90900
59;27197804;1365;262;124200;150500;26300
