TYPE_TRANSACTION_ID;ID_REMAX
1;14923360
2;13034788
3;10038716
4;27197804
5;19841907
6;25039877
7;17535365
8;11802374
9;18492709
10;19909549
11;22519373
12;14627185
13;22027607
14;21264976
15;16949699
16;13637247
17;23409855
18;21931910
19;12865880
20;28077024
21;9736715
22;12127700
23;12981836
24;14372056
25;14585324
26;25592035
27;13617790
28;19145651
29;16620292
30;23816069
31;20213474
32;12091107
33;19339735
34;13546802
35;14371921
36;17494486
37;27866607
38;12528714
39;15982544
40;25944260
41;25616484
42;26766752
43;13353717
44;13266413
45;28600931
46;28362642
47;19292461
48;13112506
49;20891259
50;28918732
51;11590805
52;21647717
53;26732736
54;26013325
55;14551882
56;15776785
57;26888978
58;17546793
59;12782121
60;16105098
61;27776787
62;15747773
63;14279516
64;22084186
65;15314076
66;18680283
67;23562415
68;26042588
69;13917785
70;20681756
71;11083640
73;14932892
74;14048581
75;27821090
76;17027719
77;20193179
78;20889663
79;13068017
80;28481213
81;24551060
82;10348860
83;13883834
84;28114114
85;27912525
86;22508026
87;19433427
88;18635892
89;25562646
90;22717879
91;25346029
92;10103255
93;17191558
94;23054979
95;21050591
96;19867455
97;12639093
98;23573928
99;14600164
100;15499808
101;20592166
102;15169421
103;21112889
104;28694284
105;23905518
106;17430485
107;22688211
108;24048180
109;24750235
110;22872807
111;18541673
112;16496436
113;22825819
114;17214946
115;15739398
116;9688835
117;21223551
118;14672564
119;27695312
120;18000194
121;13801127
122;27638446
123;9178683
124;15923519
125;21040246
126;20424250
127;28140589
128;20391586
129;12106357
130;14424243
131;24504347
133;24567421
134;19091698
135;23906629
136;23378298
137;23664618
138;23161384
139;18524327
140;16303756
141;16277466
142;17358466
143;13609945
144;9515501
145;13704063
146;10109479
147;13651583
148;22045283
149;20329916
150;10152822
151;26294518
152;13251350
153;13187008
154;16442916
155;11318012
156;28494223
158;18152911
159;11607572
160;28575678
162;20628129
163;21242021
164;15923007
165;13469831
166;13077415
167;22359958
168;17569112
169;9844201
171;20814596
172;26861233
173;19168526
174;13571911
175;18880929
177;20835389
178;22871949
179;22174598
180;13216164
181;21281082
182;25193175
183;19473963
184;14343496
185;12903107
186;19721870
187;23692670
188;25345113
189;18993519
190;26327498
192;20734918
193;27777739
194;10358728
195;25697169
196;24669182
197;25854126
199;25487257
200;10396930
201;19201746
202;27271017
203;27644262
204;25257203
72;15777392
205;17360510
207;10965008
208;15807448
209;28053436
210;9211418
211;10613254
212;13397534
213;22158136
191;27935337
161;15567489
170;28987169
176;10311828
198;22498335
214;27608308
215;21959477
216;16764151
217;27583755
218;17457091
219;26990344
220;9845280
221;14227868
222;11238864
223;14865740
224;18745715
225;13073434
226;12922894
227;21877435
229;17182759
230;17802174
231;24355806
232;25532163
233;12696684
234;20856593
235;26355518
236;16408410
237;18190929
238;19064650
239;15860571
240;20822320
241;25159336
242;15334415
243;20867507
244;13268995
245;19185419
246;23762743
247;23606872
248;26762556
249;21837250
250;25919419
251;19921100
252;17901301
253;27526296
254;15793011
255;20154571
256;11567788
257;9797913
259;16132691
260;22341241
261;9959075
262;26697827
263;11902769
264;19580381
265;9853394
266;18681175
267;28965515
268;27390631
269;28554852
270;27238520
271;17090058
272;20234827
273;20655960
274;15562061
275;24200114
276;14489949
277;11167789
278;18165837
279;26971728
280;23791161
281;15855210
282;17227876
283;11332355
284;23223261
285;15117093
286;9530205
287;13098967
288;13597902
289;25580450
290;20893776
291;22401466
292;14147614
293;28689972
294;14746798
295;11029723
296;21597649
297;24041710
298;20218583
299;18388666
300;11504422
301;25341813
302;28167034
305;17950250
306;12839632
307;24331754
308;27729578
309;25567865
310;16346432
311;28476565
312;18160294
313;25106278
314;19367218
315;13326377
316;10541237
317;27855140
318;15411641
319;14491222
320;20887314
304;15513818
303;16933270
321;13940911
322;19161830
323;20161492
325;16638031
326;21948760
327;13530821
328;19484913
329;15927377
330;22003568
331;16743824
332;18551958
333;17003046
334;24468454
335;25142452
336;11447817
338;25776466
339;23571363
340;11044970
341;12202600
342;17112386
343;27835385
344;28336359
346;11006181
347;21346020
348;17752931
349;22489034
350;20486508
352;27393279
353;11001504
354;28849686
355;20476904
356;18020049
357;19096701
358;16529290
359;18777919
360;25929848
361;10240384
362;23544705
363;22289560
364;12933253
365;28165175
368;16294314
369;19238841
370;28822184
371;12423492
372;28157900
373;24562393
374;13801222
375;17226516
376;17946690
377;17000369
378;11804949
379;24747850
380;14273842
381;10314623
382;26765308
383;14156669
384;20094643
385;20316214
386;21978173
387;26185127
388;23821004
390;26355392
391;27964672
392;14013669
393;18315452
395;25548752
396;18379720
397;23885796
398;22767845
399;10119754
400;14111309
401;22652419
402;27956713
403;16096792
404;12661717
405;19292491
406;22284778
407;25060518
408;24010640
409;21869895
410;11584690
411;19198357
206;14102691
258;26658558
228;19974143
412;14844876
413;18787136
415;24236353
417;10618672
418;21881306
419;13003651
421;10122090
422;21993635
423;21391196
424;11192562
324;21489825
394;16792244
345;11578890
337;28379457
367;11419082
416;15279921
351;27755557
366;17454197
425;16029989
426;16359715
427;17041719
428;27780344
429;13814621
432;9261648
433;23517809
435;27977848
436;20395081
437;20393800
438;9968928
439;18470944
440;27082609
442;26383794
443;13081553
445;24051449
446;13979205
447;24096226
448;15062727
449;15818969
450;11186991
451;25307408
452;12122657
453;10314589
454;13922450
455;14700618
457;28287185
458;22723177
459;22882589
461;13852283
462;21787375
463;14433972
464;28306440
466;17904652
467;25246535
468;27341319
469;11837342
470;26202473
471;23133154
472;18540678
473;16094078
474;23940986
475;24951333
477;20055792
479;9676291
480;10360877
481;14788671
482;10333097
483;18094061
484;14718294
485;23897678
487;17823828
489;17707170
490;22471796
491;20565456
492;24745441
493;17816537
494;22577692
495;10719350
496;23946505
498;21245203
499;20115235
500;9116049
501;19717162
502;10271617
503;14433780
504;11442135
506;22436628
507;16932784
508;25062207
509;14944765
511;9885950
513;14331484
514;23222696
515;25405879
517;24882360
518;27452471
520;25526986
521;24428018
524;14172226
525;23520767
526;15187789
527;23842693
529;28608802
530;11370479
531;17766459
478;24718351
528;14308798
510;25244724
497;17228795
512;27198892
519;26544047
516;25662332
486;11713551
523;21781475
522;21509238
456;12128835
488;11978077
505;14585024
532;20289117
533;18172160
534;20525024
536;9727858
537;24651597
538;23800978
539;26275453
540;26517237
541;25124616
542;25517953
543;19423273
544;27334860
545;23021197
547;15485956
548;12845927
549;18392574
550;27638710
552;12485240
553;16552178
554;14155455
555;14464565
557;19687943
562;11427685
564;23787252
566;12337231
567;15508736
568;25528538
574;14279789
575;23070621
579;11226099
581;25977335
585;11582437
587;12022785
588;20304694
590;23345821
591;16183927
593;14207594
594;19237282
599;10095799
602;11608098
605;12730188
607;28358130
608;16209712
609;19234581
441;22060867
434;16748566
460;26899585
444;21205647
476;16136217
431;10166034
465;19370350
420;28326813
414;28927766
430;28646238
614;21453879
616;26672497
622;28704318
624;28552720
626;10681341
627;20289972
628;18451207
535;9509086
546;17989064
620;15012800
619;19583599
613;15477955
551;21096427
617;20959718
612;12278844
625;20008689
615;28351289
618;24459365
621;15541999
576;20699675
582;22845474
623;20462289
629;17363693
630;11881999
631;10313702
632;24178269
633;11086891
637;22485977
638;21546275
639;16276036
640;26887656
641;22735277
643;18427533
645;23277636
646;17991701
647;13311729
648;22869982
649;25425792
569;17906536
601;11992872
571;24804695
592;18092256
556;14201845
586;19511729
565;11589915
563;27091274
559;24722465
578;23582705
610;27604876
603;23401245
583;28757275
600;14710845
596;17176427
561;25027591
589;27735580
597;11120581
604;9642451
598;17152479
573;19646565
572;19204760
611;23997117
580;25055060
560;18585020
606;21434527
584;28380779
558;9995311
570;28403485
651;20997217
653;20726185
654;28192445
655;9179876
656;17998864
657;17230348
658;13405335
659;22113973
660;10925994
661;22844482
662;10682009
663;24803870
664;13730805
665;9744267
666;9974821
667;14188779
668;23612942
670;9741553
672;24355006
673;16868952
674;24720245
675;20073516
676;11094330
677;28019175
678;15998027
679;12378406
680;20787824
681;18857738
683;20375189
685;24995077
686;18087872
687;15158108
688;18614386
689;21541994
690;15231684
691;20667591
692;21931455
693;20642934
694;23727190
695;12479474
696;17951134
697;26024060
698;25407372
699;11617006
700;18784128
701;25938815
702;19602290
703;15692634
704;27620764
635;10327417
595;23849157
671;28353804
577;25201502
636;17129914
