ADRESSE_ID;ID_REMAX;PRIX;ADRESSE;ODONYMES;NUM_APPARTEMENT;CODE_POSTAL;CODE_REGION;REGION;ARRONDISSEMENT;NUM_CIVIQUE
1;14372056;568000;794 Rue Jean-Deslauriers;rue;47;J4B 0E7;J4B;;Boucherville;794
2;21264976;112000;106 Rue Desjardins;rue;;J8C 2W9;J8C;;Sainte-Agathe-des-Monts;106
3;27197804;149900;742 Rue Lafond;rue;;J0K 1W0;J0K;;Saint-Alphonse-Rodriguez;742
4;16620292;265000;312 Av. Broadway;avenue;;H1B 5A6;H1B;;Montréal-Est;312
5;13546802;249900;14 Rue Carolann;rue;;G6R 0B2;G6R;;Saint-Christophe-d'Arthabaska;14
6;20213474;599900;210 Rue de Fontenelle;rue;;J4B 7T6;J4B;;Boucherville;210
7;22084186;275000;580 Ch. du Lac-Hénault N.;chemin;;J0K 1L0;J0K;;Mandeville;580
8;17535365;79000;150 6e Rue;6e rue;;G9T 4P7;G9T;Grand-Mère;Shawinigan;150
9;10038716;359900;42 64e Avenue;64e avenue;;J7P 3P3;J7P;;Saint-Eustache;42
10;9736715;389000;806 Rue Daladier;rue;;H7X 2L9;H7X;Laval;Sainte-Dorothée;806
11;23816069;565000;82 Rue Chatillon;rue;;H9B 1B3;H9B;;Dollard-des-Ormeaux;82
12;28077024;199000;515 Rue Dodon;rue;;J0K 1Z0;J0K;;Saint-Calixte;515
13;26766752;419000;3845 Rue Martinique;rue;;H4Y 1K3;H4Y;;Brossard;3845
14;19841907;590000;218 Ch. du Tour-du-Lac;chemin;;G3B 0T7;G3B;;Lac-Beauport;218
15;19145651;239000;4786 Rue des Ormes;rue;;J0L 1C0;J0L;;Contrecoeur;4786
16;16949699;109900;1048 Rue Bélanger;rue;;G0S 1Z0;G0S;;Saint-Agapit;1048
17;14371921;258500;319 Mtée des Cascades;montée;;J5K 2B5;J5K;;Saint-Colomban;319
18;13353717;3988000;366 Ch. de la Côte-Ste-Catherine;chemin;;H2V 2B4;H2V;;Outremont;366
19;12528714;299900;104 Ch. William;chemin;;J8L 0J5;J8L;;L'Ange-Gardien;104
20;19339735;269000;2304 Rue de Val-David-en-Haut;rue;;J0T 2N0;J0T;;Val-David;2304
21;12127700;349900;500 Rue St-Paul E.;rue;01;H2Y 3V1;H2Y;Vieux-Montréal;Ville-Marie;500
22;13637247;698000;51 Av. d'Alsace;avenue;;J5R 5R7;J5R;;Candiac;51
23;28600931;260995;8265 Rue de Londres;rue;408;J4Y 0P8;J4Y;;Brossard;8265
24;25592035;149900;239 Ch. Filion;chemin;;J8M 1W8;J8M;;Masson;239
25;26013325;133900;31 Rue Bélanger;rue;;J0V 1V0;J0V;;Ripon;31
