CARACTERISTIQUES_PRINCIPALES_ID;ID_REMAX;SUPERFICIE_TERRAIN;NOMBRE_PIECES;ANNEE_CONSTRUCTION
1;26013325;13421;13;1978
2;19909549;12157;7;2011
3;14372056;0;12;2010
4;14923360;16656;12;2010
5;14279516;2;7;2004
6;22027607;3843;9;1992
7;26888978;6500;12;2007
8;22084186;57538;11;2007
9;12981836;522720;8;1990
10;14371921;27135;11;1969
11;19292461;23955;19;2009
12;13917785;2;7;2004
13;17535365;10788;11;1951
14;14551882;6000;7;1979
15;21264976;0;5;1975
16;19145651;2494;9;2013
17;22519373;0;5;2019
18;12865880;2;7;2004
19;9736715;7454;11;1964
20;17546793;0;7;2003
21;28362642;878335;7;1980
22;15982544;5124;12;1995
23;11590805;15132;10;2019
24;10038716;4994;10;2008
25;13266413;6200;14;2007
26;20681756;1770;10;2006
27;14627185;108256;6;
28;21647717;0;6;2010
29;13637247;6845;15;1988
30;13617790;9192;8;1969
31;14585324;0;9;2012
32;11802374;6096;9;1958
33;27776787;2;7;2004
34;26766752;6200;7;1973
35;13353717;13798;12;1906
36;18492709;2;7;2004
37;16949699;17494;7;2011
38;20891259;2639;8;2007
39;18680283;33955;12;2018
40;27866607;11444;8;1973
41;23562415;37000;4;1975
42;21931910;4542;5;1956
43;28077024;40084;8;2007
44;15747773;0;8;
45;25944260;0;6;1987
46;26042588;8060;11;2006
47;20213474;7218;17;1986
48;28600931;0;7;2017
49;26732736;0;6;1987
50;23409855;0;9;2015
51;12091107;3352;9;1986
52;17494486;16687;9;2009
53;19841907;20017;14;1994
54;25616484;4088;12;2004
55;13034788;262705;7;1989
56;25592035;2777;9;1996
57;12782121;1702;11;2012
58;12127700;0;7;1988
59;23816069;5533;7;1972
60;19339735;15000;10;2012
61;13112506;10748;11;1960
62;27197804;20871;6;1971
63;12528714;53015;11;2007
64;28918732;13250;6;1980
65;15314076;0;9;1947
66;16620292;4386;8;1945
67;25039877;16297;17;1983
68;13546802;16921;11;2001
69;16105098;0;6;1971
70;17191558;153;5;2013
72;28140589;43550;18;1978
73;20889663;7919;13;1957
74;23905518;4836;13;1905
