CARACT_APPARTE_ID;ID_REMAX;CHAMBRES;COMBUSTION_LENTE;DOUBLE_LARGEUR;DOUBLE_LARGEUR_SIMPLE_LARGEUR;FOYER_AU_BOIS;FOYER_AU_GAZ;FOYER_AU_MAZOUT;FOYER_AUX_GRANULES;FOYER_ELECTRIQUE;GARAGE;PISCINE_CREUSEE;PISCINE_HORS_TERRE;POELE;POELE_AU_BOIS;POELE_AU_GAZ;POELE_AU_MAZOUT;POELE_AUX_GRANULES;SALLE_DEAU;SALLE_DE_BAINS;SIMPLE_LARGEUR;ELECTRIQUE;PROPANE;ETHANOL
1;26013325;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
2;19909549;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;2;0
3;14372056;3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
4;14923360;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
5;14279516;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
6;22027607;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
7;26888978;4;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;1;0;0;0;0
8;22084186;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
9;14371921;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
10;12981836;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
11;19292461;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0
12;13917785;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
13;17535365;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
14;21264976;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
15;14551882;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
16;19145651;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
17;22519373;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
18;12865880;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
19;9736715;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
20;28362642;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
21;17546793;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
22;15982544;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
23;10038716;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0
24;11590805;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
25;13266413;4;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
26;20681756;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
27;14627185;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
28;13637247;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0
29;21647717;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
30;13617790;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
31;14585324;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
32;11802374;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
33;27776787;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
34;26766752;4;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
35;13353717;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
36;18492709;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
37;16949699;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
38;20891259;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
39;18680283;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0
40;27866607;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
41;21931910;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
42;23562415;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
43;28077024;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
44;15747773;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
45;25944260;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
46;26042588;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
47;20213474;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
48;28600931;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
49;26732736;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0
50;23409855;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0
51;12091107;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0
52;17494486;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
53;19841907;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
54;15776785;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
55;25616484;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
56;13034788;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
57;25592035;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58;12782121;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
59;12127700;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
60;23816069;3;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
61;19339735;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
62;13112506;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
63;27197804;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
64;12528714;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
65;28918732;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
66;15314076;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
67;16620292;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
68;25039877;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
69;13546802;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
70;16105098;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
71;28140589;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
73;17191558;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0
74;20889663;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
75;23905518;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
76;17027719;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
77;22825819;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
78;22688211;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
79;27821090;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0
80;27638446;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
81;24567421;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
82;20424250;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
83;28481213;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
84;25562646;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
85;9688835;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
86;19867455;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0
87;14048581;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
88;20391586;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
89;20592166;6;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
90;21050591;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
91;10348860;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0
92;23906629;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
93;22508026;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
94;20193179;4;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
95;12639093;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
96;13068017;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
97;21040246;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
98;9178683;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
99;28694284;4;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;0
100;14600164;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
101;22872807;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;2;0;0;0;0
102;21223551;4;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0
104;15499808;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
105;15923519;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
106;10103255;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
107;12106357;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
108;23573928;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
109;16496436;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
110;18000194;3;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
103;16679095;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
111;19091698;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
112;11083640;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
113;24048180;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
114;23054979;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
115;17430485;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
116;24750235;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
117;24551060;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
118;27912525;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
119;17214946;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
120;18635892;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
121;13883834;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
122;15169421;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
123;14672564;5;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0
124;22717879;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
125;24504347;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
126;28114114;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
127;14424243;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
128;25346029;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
129;18541673;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
130;13801127;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
131;27695312;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
132;15739398;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
133;19433427;3;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
134;21112889;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
135;14932892;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
136;20835389;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
137;18880929;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
138;19473963;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
139;23664618;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
140;24669182;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
141;12903107;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0
142;13571911;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0
144;13187008;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;0
145;28575678;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
146;20329916;7;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;3;0;0;1;0
147;17358466;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0
148;14343496;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
149;13609945;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
150;23692670;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
151;25697169;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
152;20628129;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
154;10396930;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
155;25487257;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
156;23378298;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
157;16277466;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
158;19721870;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
159;25854126;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
160;11607572;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
161;26861233;4;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
162;19168526;4;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0
163;13704063;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0
164;13651583;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
165;22045283;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
143;10311828;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
166;20814596;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
167;28494223;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
168;18524327;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
169;10109479;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;1;0
