ACCESSIBILITE_ID;ID_REMAX;CAFES;CONVIVIAL_AUTO;DYNAMIQUE;GARDERIES;HISTORIQUE;MAGASINAGE;NIGHTLIFE;PARCS;CONVIVIALE_VELO;CONVIVIALE_PIETON;RESTAURANTS;SILENCIEUX;TRANSPORT_EN_COMMUN;VERDURE;ECOLES_PRIMAIRES;ECOLES_SECONDAIRES;EPICERIES
1;26013325;0.0;9.0;0.0;2.0;0.0;0.0;4.0;0.0;0.0;1.0;4.0;10.0;0.0;0.0;9.0;0.0;4.0
2;19909549;3.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;9.0;0.0;0.0;0.0;0.0;0.0
3;14279516;6.0;8.0;3.0;8.0;2.0;6.0;3.0;6.0;5.0;6.0;6.0;7.0;6.0;6.0;5.0;8.0;8.0
4;22027607;1.0;10.0;1.0;1.0;0.0;4.0;3.0;0.0;0.0;3.0;3.0;10.0;1.0;0.0;3.0;3.0;4.0
5;26888978;0.0;10.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;10.0;0.0;0.0;0.0;0.0;4.0
6;14371921;2.0;9.0;0.0;2.0;0.0;2.0;0.0;4.0;0.0;2.0;2.0;9.0;0.0;0.0;5.0;0.0;1.0
7;12981836;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0
8;19292461;4.0;9.0;2.0;2.0;0.0;5.0;2.0;5.0;7.0;4.0;4.0;8.0;2.0;0.0;3.0;3.0;6.0
9;13917785;6.0;8.0;3.0;8.0;2.0;6.0;3.0;6.0;5.0;6.0;6.0;7.0;6.0;6.0;5.0;8.0;8.0
10;17535365;5.0;9.0;1.0;6.0;0.0;4.0;4.0;5.0;0.0;3.0;4.0;8.0;0.0;0.0;6.0;10.0;6.0
11;21264976;4.0;10.0;1.0;5.0;0.0;4.0;3.0;0.0;0.0;3.0;3.0;10.0;0.0;0.0;7.0;4.0;6.0
12;14551882;1.0;10.0;1.0;5.0;2.0;3.0;1.0;6.0;0.0;3.0;3.0;10.0;4.0;7.0;10.0;1.0;2.0
13;19145651;5.0;10.0;1.0;9.0;0.0;2.0;2.0;0.0;0.0;2.0;3.0;8.0;1.0;0.0;5.0;0.0;8.0
14;28362642;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;10.0;0.0;0.0;1.0;0.0;0.0
15;10038716;4.0;10.0;1.0;6.0;2.0;4.0;1.0;5.0;0.0;3.0;3.0;9.0;2.0;7.0;4.0;1.0;1.0
16;13266413;5.0;10.0;1.0;8.0;0.0;3.0;1.0;6.0;0.0;3.0;3.0;10.0;4.0;2.0;10.0;2.0;3.0
17;14627185;1.0;10.0;0.0;1.0;0.0;2.0;0.0;3.0;0.0;1.0;1.0;9.0;0.0;0.0;1.0;0.0;0.0
18;13637247;3.0;10.0;1.0;8.0;0.0;3.0;1.0;7.0;0.0;3.0;4.0;10.0;3.0;7.0;10.0;9.0;3.0
19;13617790;3.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;9.0;0.0;0.0;0.0;0.0;0.0
20;14585324;6.0;10.0;2.0;5.0;0.0;5.0;2.0;8.0;5.0;6.0;6.0;3.0;5.0;3.0;7.0;7.0;9.0
21;11802374;6.0;9.0;2.0;5.0;0.0;6.0;2.0;7.0;6.0;4.0;5.0;10.0;4.0;7.0;9.0;6.0;2.0
22;27776787;6.0;8.0;3.0;8.0;2.0;6.0;3.0;6.0;5.0;6.0;6.0;7.0;6.0;6.0;5.0;8.0;8.0
23;26766752;3.0;10.0;2.0;4.0;0.0;6.0;2.0;6.0;0.0;5.0;5.0;8.0;4.0;6.0;5.0;6.0;6.0
24;13353717;10.0;7.0;8.0;6.0;5.0;10.0;8.0;10.0;6.0;10.0;10.0;3.0;9.0;9.0;8.0;8.0;8.0
25;18492709;6.0;8.0;3.0;8.0;2.0;6.0;3.0;6.0;5.0;6.0;6.0;7.0;6.0;6.0;5.0;8.0;8.0
26;16949699;0.0;9.0;1.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;4.0;10.0;0.0;0.0;10.0;4.0;5.0
27;27866607;0.0;9.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0
28;21931910;4.0;8.0;2.0;8.0;2.0;3.0;2.0;6.0;0.0;5.0;4.0;7.0;4.0;6.0;9.0;5.0;8.0
29;23562415;1.0;10.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;1.0;2.0;10.0;0.0;0.0;1.0;0.0;1.0
30;28077024;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0
31;15747773;6.0;6.0;7.0;8.0;4.0;8.0;6.0;10.0;9.0;10.0;9.0;8.0;9.0;8.0;9.0;5.0;9.0
32;25944260;2.0;10.0;2.0;1.0;0.0;4.0;1.0;6.0;4.0;4.0;4.0;9.0;4.0;0.0;9.0;6.0;6.0
33;26042588;0.0;9.0;1.0;0.0;0.0;1.0;1.0;4.0;0.0;2.0;2.0;10.0;0.0;2.0;5.0;0.0;4.0
34;20213474;2.0;10.0;1.0;5.0;0.0;4.0;1.0;7.0;0.0;4.0;4.0;10.0;2.0;6.0;1.0;1.0;8.0
35;26732736;4.0;9.0;3.0;9.0;0.0;5.0;2.0;9.0;8.0;5.0;5.0;8.0;6.0;9.0;2.0;2.0;8.0
36;28600931;3.0;10.0;1.0;1.0;0.0;5.0;1.0;5.0;0.0;3.0;4.0;10.0;2.0;2.0;10.0;0.0;3.0
37;23409855;3.0;10.0;2.0;6.0;0.0;6.0;3.0;6.0;0.0;5.0;4.0;7.0;4.0;5.0;7.0;3.0;6.0
38;12091107;4.0;10.0;2.0;2.0;0.0;3.0;1.0;0.0;6.0;4.0;4.0;9.0;4.0;0.0;9.0;4.0;7.0
39;17494486;0.0;9.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;10.0;0.0;0.0;5.0;0.0;0.0
40;19841907;0.0;10.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;1.0;2.0;9.0;0.0;0.0;1.0;0.0;0.0
41;13034788;0.0;10.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0
42;25592035;1.0;10.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;2.0;10.0;1.0;0.0;1.0;0.0;0.0
43;12782121;3.0;10.0;1.0;1.0;0.0;3.0;3.0;5.0;0.0;2.0;3.0;7.0;1.0;2.0;3.0;2.0;1.0
44;12127700;10.0;5.0;10.0;9.0;7.0;10.0;10.0;10.0;8.0;10.0;10.0;2.0;10.0;4.0;3.0;3.0;10.0
45;23816069;2.0;8.0;2.0;6.0;0.0;5.0;1.0;8.0;5.0;4.0;5.0;10.0;4.0;6.0;9.0;7.0;3.0
46;19339735;3.0;10.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;2.0;4.0;10.0;0.0;0.0;3.0;2.0;2.0
47;13112506;6.0;10.0;2.0;6.0;0.0;4.0;3.0;0.0;0.0;4.0;4.0;9.0;0.0;0.0;10.0;1.0;7.0
48;28918732;1.0;9.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;2.0;5.0;0.0;7.0;1.0;0.0;0.0
49;16620292;6.0;10.0;2.0;5.0;4.0;5.0;4.0;7.0;5.0;4.0;5.0;6.0;5.0;6.0;7.0;5.0;8.0
50;25039877;0.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0
51;13546802;1.0;10.0;1.0;5.0;0.0;4.0;1.0;0.0;0.0;2.0;3.0;5.0;0.0;0.0;2.0;0.0;2.0
52;16105098;5.0;8.0;3.0;8.0;4.0;5.0;4.0;10.0;8.0;5.0;5.0;5.0;5.0;8.0;6.0;9.0;7.0
53;28140589;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;2.0;9.0;0.0;0.0;0.0;0.0;0.0
54;17027719;5.0;9.0;1.0;6.0;0.0;4.0;4.0;0.0;0.0;4.0;4.0;8.0;0.0;0.0;9.0;7.0;8.0
55;22825819;1.0;9.0;1.0;1.0;2.0;1.0;1.0;3.0;0.0;2.0;2.0;10.0;1.0;2.0;4.0;4.0;2.0
57;22688211;1.0;10.0;1.0;6.0;1.0;3.0;3.0;5.0;0.0;3.0;3.0;10.0;2.0;3.0;5.0;8.0;5.0
58;27821090;4.0;10.0;2.0;2.0;0.0;5.0;1.0;8.0;0.0;5.0;4.0;9.0;4.0;6.0;6.0;2.0;5.0
59;27638446;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0
60;24567421;0.0;9.0;1.0;4.0;0.0;1.0;1.0;0.0;0.0;2.0;4.0;10.0;0.0;0.0;9.0;5.0;5.0
61;15499808;0.0;9.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0
62;28481213;6.0;10.0;2.0;10.0;0.0;4.0;4.0;6.0;0.0;5.0;5.0;7.0;4.0;3.0;6.0;10.0;8.0
63;19867455;2.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;9.0;0.0;0.0;7.0;0.0;0.0
64;18000194;0.0;9.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0
65;11083640;4.0;10.0;2.0;10.0;0.0;4.0;2.0;8.0;0.0;4.0;4.0;5.0;5.0;4.0;4.0;3.0;8.0
66;14048581;0.0;10.0;1.0;6.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0
67;20391586;4.0;10.0;1.0;1.0;0.0;3.0;2.0;7.0;0.0;4.0;4.0;4.0;4.0;4.0;3.0;8.0;4.0
68;24048180;6.0;10.0;1.0;2.0;2.0;4.0;2.0;7.0;0.0;3.0;4.0;10.0;1.0;5.0;5.0;3.0;6.0
69;23054979;9.0;7.0;7.0;9.0;4.0;10.0;5.0;9.0;6.0;10.0;10.0;0.0;10.0;5.0;10.0;9.0;10.0
70;20592166;6.0;6.0;5.0;8.0;2.0;8.0;3.0;8.0;6.0;9.0;7.0;8.0;8.0;5.0;10.0;5.0;9.0
71;17430485;3.0;9.0;2.0;8.0;4.0;4.0;4.0;7.0;0.0;5.0;5.0;10.0;6.0;6.0;10.0;10.0;5.0
72;10348860;1.0;10.0;1.0;0.0;0.0;3.0;4.0;0.0;0.0;2.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0
73;24551060;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0
74;27912525;4.0;10.0;1.0;1.0;0.0;3.0;1.0;5.0;0.0;2.0;3.0;10.0;4.0;1.0;8.0;1.0;3.0
75;17214946;2.0;10.0;1.0;4.0;0.0;3.0;1.0;4.0;5.0;3.0;3.0;9.0;4.0;0.0;2.0;1.0;1.0
76;14672564;3.0;8.0;1.0;6.0;0.0;3.0;2.0;3.0;0.0;4.0;4.0;10.0;1.0;0.0;9.0;1.0;8.0
77;22508026;0.0;10.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0
78;28114114;10.0;6.0;10.0;10.0;6.0;10.0;10.0;10.0;7.0;10.0;10.0;0.0;10.0;3.0;9.0;9.0;10.0
79;14424243;6.0;9.0;5.0;10.0;1.0;10.0;4.0;8.0;6.0;10.0;8.0;0.0;9.0;5.0;10.0;10.0;9.0
80;20193179;0.0;10.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;10.0;0.0;0.0;1.0;0.0;0.0
81;18541673;5.0;10.0;1.0;5.0;0.0;6.0;1.0;5.0;0.0;3.0;4.0;10.0;4.0;2.0;6.0;1.0;3.0
82;12639093;3.0;7.0;2.0;5.0;0.0;3.0;2.0;6.0;6.0;4.0;4.0;10.0;3.0;8.0;9.0;8.0;7.0
83;13801127;2.0;10.0;1.0;4.0;2.0;4.0;0.0;5.0;0.0;3.0;4.0;3.0;3.0;3.0;1.0;2.0;4.0
84;15739398;3.0;9.0;1.0;2.0;0.0;2.0;2.0;0.0;0.0;3.0;3.0;10.0;0.0;0.0;6.0;0.0;5.0
85;13068017;2.0;9.0;1.0;8.0;0.0;2.0;2.0;7.0;0.0;3.0;3.0;10.0;4.0;6.0;7.0;1.0;3.0
86;9178683;0.0;10.0;1.0;1.0;0.0;3.0;1.0;5.0;0.0;2.0;2.0;10.0;1.0;0.0;3.0;0.0;1.0
87;22872807;4.0;10.0;2.0;5.0;0.0;4.0;3.0;0.0;0.0;5.0;5.0;9.0;0.0;0.0;10.0;5.0;7.0
