GR_AGE_ID;ID_REMAX;QUARTIER_14_ANS_MOINS;QUARTIER_15_19_ANS;QUARTIER_20_34_ANS;QUARTIER_35_49_ANS;QUARTIER_50_64_ANS;QUARTIER_65_ANS_PLUS
1;26013325;14.8;4.6;13.9;16.6;25.2;24.9
2;19909549;9.3;3.8;10.8;15.3;30.1;30.7
3;14372056;8.6;2.7;3.8;10.7;29.3;44.9
4;14923360;13.5;3.9;12.7;18.4;25.1;26.4
5;14279516;16.9;4.2;19.9;17.8;23.0;18.2
6;22027607;13.5;2.6;13.0;17.1;27.2;26.6
7;26888978;17.0;3.7;17.9;19.8;24.5;17.1
8;22084186;7.3;3.6;6.4;15.5;36.4;30.8
9;14371921;19.8;5.0;14.8;22.6;24.4;13.4
10;12981836;2.4;1.2;4.8;8.4;42.2;41.0
11;19292461;20.6;5.6;13.7;23.8;19.6;16.7
12;13917785;16.9;4.2;19.9;17.8;23.0;18.2
13;17535365;9.6;4.3;14.0;13.7;27.3;31.1
14;21264976;10.4;4.3;10.9;13.5;26.7;34.2
15;14551882;20.3;5.5;20.8;23.8;21.7;7.9
16;19145651;20.7;3.4;27.2;19.7;17.1;11.9
17;22519373;13.9;3.8;20.5;15.6;24.6;21.6
18;12865880;15.3;4.0;19.7;17.6;23.9;19.5
19;9736715;16.8;5.8;14.5;17.9;23.6;21.4
20;28362642;15.7;3.7;19.4;20.1;24.6;16.5
21;17546793;15.7;5.5;17.1;20.8;28.4;12.5
22;15982544;16.8;7.7;14.5;23.4;23.5;14.1
23;10038716;12.9;3.8;17.2;17.4;27.1;21.6
24;11590805;26.2;4.9;14.6;27.0;17.3;10.0
25;13266413;18.9;5.5;16.5;18.4;25.4;15.3
26;20681756;29.6;4.6;24.5;29.0;9.8;2.5
27;14627185;18.9;6.7;15.3;22.8;22.9;13.4
28;13637247;19.4;8.1;15.3;23.1;25.5;8.6
29;21647717;14.3;4.1;16.3;15.2;22.7;27.4
30;13617790;9.3;3.8;10.8;15.3;30.1;30.7
31;14585324;15.0;6.8;16.9;19.1;21.1;21.1
32;11802374;19.6;8.0;15.2;20.5;22.2;14.5
33;27776787;16.9;4.2;19.9;17.8;23.0;18.2
34;26766752;14.8;6.3;14.3;19.1;20.0;25.5
35;13353717;19.6;8.0;13.8;16.7;19.6;22.3
36;18492709;16.9;4.2;19.9;17.8;23.0;18.2
37;16949699;17.8;3.9;20.7;14.8;18.7;24.1
38;20891259;20.1;7.1;19.8;27.0;17.7;8.3
39;18680283;15.4;3.4;19.6;19.5;27.1;15.0
40;27866607;12.2;4.4;12.8;16.7;34.4;19.5
41;21931910;16.0;5.7;17.4;20.3;23.8;16.8
42;23562415;19.8;3.8;14.1;19.8;26.4;16.1
43;28077024;16.9;3.1;11.6;19.2;26.9;22.3
44;15747773;13.4;3.6;23.5;23.5;20.9;15.1
45;25944260;8.1;2.7;14.9;12.9;16.2;45.2
46;26042588;28.8;6.2;19.3;27.1;13.3;5.3
47;20213474;18.6;8.8;13.5;22.6;27.6;8.9
48;28600931;17.6;3.9;27.6;26.8;16.4;7.7
49;26732736;14.0;3.6;14.2;22.2;26.1;19.9
50;23409855;17.1;8.1;11.8;21.1;19.3;22.6
51;12091107;22.7;7.9;17.7;24.0;21.7;6.0
52;17494486;26.0;4.7;24.2;21.9;16.9;6.3
53;19841907;18.2;6.6;12.4;22.6;25.8;14.4
54;15776785;11.5;4.2;10.8;16.8;34.4;22.3
55;25616484;27.8;9.0;10.8;31.4;17.5;3.5
56;13034788;14.9;4.6;12.2;17.5;26.6;24.2
57;25592035;13.3;6.7;14.4;18.9;33.3;13.4
58;12782121;20.1;8.0;20.5;23.4;22.4;5.6
59;12127700;6.3;2.1;26.5;22.7;26.8;15.6
60;23816069;18.6;7.0;14.8;18.8;22.4;18.4
61;19339735;11.1;5.3;11.8;19.9;30.0;21.9
62;13112506;12.3;4.7;15.9;16.3;30.3;20.5
63;27197804;8.5;3.3;11.3;14.1;37.2;25.6
64;12528714;20.9;5.7;16.0;24.8;22.7;9.9
65;28918732;16.8;5.7;14.6;20.4;26.6;15.9
66;15314076;20.0;6.2;18.4;21.3;18.2;15.9
67;16620292;14.6;5.7;24.1;20.8;22.9;11.9
68;25039877;8.5;3.2;5.2;12.7;38.5;31.9
69;13546802;28.2;5.6;15.0;25.4;16.0;9.8
70;16105098;11.6;4.2;19.6;20.2;25.6;18.8
71;28140589;15.5;6.2;14.9;18.6;31.7;13.1
2140;13170242;20.4;6.1;16.4;19.4;24.9;12.8
73;17191558;7.1;2.7;35.4;18.8;20.9;15.1
74;20889663;10.7;4.8;10.4;15.2;33.3;25.6
75;23905518;19.9;4.5;20.8;21.7;20.1;13.0
76;17027719;10.2;3.9;13.8;13.9;29.2;29.0
77;22825819;23.1;4.5;23.1;20.9;16.7;11.7
78;22688211;16.2;5.1;18.8;16.9;23.3;19.7
79;27821090;3.0;1.5;5.1;7.5;21.9;61.0
80;27638446;6.9;1.8;9.6;8.7;30.4;42.6
81;24567421;17.1;3.8;18.1;20.0;22.0;19.0
82;20424250;14.6;3.9;12.9;14.0;29.2;25.4
83;28481213;8.4;3.3;15.2;14.8;22.2;36.1
84;25562646;10.2;3.9;14.1;16.4;28.9;26.5
85;9688835;17.6;4.1;12.8;20.3;26.4;18.8
86;19867455;26.2;4.1;23.9;19.0;15.7;11.1
87;14048581;20.4;5.2;17.7;21.3;23.0;12.4
88;20391586;15.0;2.6;26.2;21.6;20.5;14.1
89;20592166;14.9;4.0;17.3;19.6;19.6;24.6
90;21050591;20.6;6.4;23.2;22.5;17.5;9.8
91;10348860;5.7;4.4;8.1;12.7;36.9;32.2
92;23906629;19.3;5.2;20.0;23.4;16.5;15.6
93;22508026;14.5;4.8;16.4;21.5;25.4;17.4
94;20193179;15.3;5.4;11.4;15.7;26.5;25.7
95;12639093;16.0;7.2;17.5;19.7;24.5;15.1
