REVENU_OCCUPATION_ID;ID_REMAX;REVENU_FAM_QUARTIER;REVENU_INDIVIDUEL_QUARTIER;PROPRIETAIRES_QUARTIER;LOCATAIRES_QUARTIER
1;26013325;70270.0;28155.0;89.3;10.7
2;19909549;89311.0;42016.0;93.5;6.5
3;14372056;144658.0;68671.0;95.0;4.6
4;14923360;78953.0;35692.0;87.8;8.7
5;14279516;68490.0;31407.0;53.8;46.2
6;22027607;62584.0;30191.0;56.9;42.9
7;26888978;84377.0;36081.0;85.8;12.0
8;12981836;68183.0;30333.0;97.6;97.6
9;14371921;82834.0;35917.0;95.3;1.5
10;22084186;60077.0;30595.0;78.4;21.6
11;19292461;104862.0;47182.0;79.4;20.4
12;13917785;68490.0;31407.0;53.8;46.2
13;17535365;40220.0;21430.0;22.9;77.1
14;14551882;99002.0;43882.0;91.2;0.5
15;21264976;52905.0;27576.0;59.3;40.7
16;19145651;70946.0;33063.0;66.4;33.6
17;22519373;53242.0;25540.0;45.2;54.3
18;12865880;66181.0;30479.0;47.8;52.2
19;9736715;95504.0;39729.0;89.4;9.4
20;17546793;94988.0;44133.0;93.4;2.7
21;28362642;73431.0;28940.0;84.9;15.1
22;15982544;86475.0;41003.0;91.0;7.9
23;10038716;73116.0;31862.0;83.0;16.0
24;11590805;103912.0;49617.0;93.8;5.2
25;13266413;96499.0;43304.0;98.1;0.9
26;20681756;102482.0;50298.0;83.8;16.2
27;14627185;83728.0;38281.0;96.5;0.4
28;13637247;162787.0;65302.0;96.7;0.1
29;21647717;83364.0;36744.0;68.3;30.6
30;13617790;89311.0;42016.0;93.5;6.5
31;11802374;101327.0;39129.0;94.3;5.7
32;14585324;89319.0;36973.0;79.1;20.4
33;27776787;68490.0;31407.0;53.8;46.2
34;26766752;111734.0;44635.0;95.8;0.1
35;13353717;207817.0;85743.0;57.4;42.2
36;18492709;68490.0;31407.0;53.8;46.2
37;16949699;63941.0;30567.0;94.8;0.1
38;20891259;91486.0;40184.0;90.9;9.0
39;18680283;80596.0;36279.0;78.0;21.5
40;27866607;79634.0;37810.0;95.8;4.2
41;21931910;75229.0;31631.0;72.0;26.5
42;23562415;59379.0;29105.0;78.6;21.4
43;28077024;50711.0;25974.0;87.5;87.5
44;15747773;85616.0;40330.0;41.1;58.7
45;25944260;78730.0;38268.0;34.2;65.5
46;26042588;87244.0;39414.0;84.3;15.7
47;20213474;164425.0;71089.0;98.4;98.4
48;26732736;159595.0;78347.0;91.6;7.8
49;28600931;93113.0;46978.0;95.3;4.7
50;23409855;121944.0;53040.0;89.8;6.1
51;12091107;101921.0;46411.0;92.7;0.5
52;17494486;67947.0;32630.0;89.9;9.5
53;19841907;144245.0;62433.0;98.8;98.8
54;15776785;92171.0;41537.0;89.7;9.8
55;13034788;67915.0;28990.0;74.6;25.3
56;25616484;140033.0;60033.0;98.5;0.3
