SCOLARITE_ID;ID_REMAX;AUCUN_DIPLOME;SECONDAIRE;PROFESSIONNEL_OU_METIER;COLLEGIALE;UNIVERSITAIRE
1;26013325;25.8;15.3;17.3;25.4;9.2
2;19909549;21.7;22.7;17.8;17.1;20.0
3;14372056;4.6;17.1;6.0;22.4;48.9
4;14923360;18.1;21.2;18.9;20.6;20.3
5;14279516;22.6;22.9;11.7;15.4;24.1
6;22027607;25.4;23.8;23.5;18.7;2.8
7;26888978;10.8;26.1;29.0;26.0;7.9
8;22084186;28.0;29.3;13.4;12.2;17.1
9;14371921;29.9;25.2;22.3;15.2;5.1
10;12981836;17.3;22.2;23.5;19.8;0.0
11;19292461;9.2;19.1;11.4;20.8;39.4
12;13917785;22.6;22.9;11.7;15.4;24.1
13;17535365;44.2;21.8;17.3;9.4;0.9
14;21264976;33.1;28.0;13.9;11.2;11.7
15;14551882;13.5;23.9;16.9;15.2;30.3
16;19145651;33.4;16.9;32.3;12.0;4.7
17;22519373;46.0;18.2;18.7;11.3;1.9
18;12865880;23.7;25.3;11.9;14.8;21.2
19;9736715;14.5;25.1;12.3;18.0;29.1
20;28362642;38.2;17.1;23.6;10.6;0.0
21;17546793;13.4;24.4;13.6;22.7;23.3
22;15982544;23.8;26.3;16.5;15.8;15.2
23;10038716;33.0;26.2;19.8;11.0;7.3
24;11590805;4.6;12.2;12.8;30.6;39.8
25;13266413;11.6;23.1;15.0;21.9;27.9
26;20681756;7.3;15.2;7.5;18.6;51.4
27;14627185;29.5;34.1;19.3;11.0;5.2
28;13637247;10.9;15.4;7.7;25.7;40.3
29;21647717;16.1;21.9;16.5;18.3;26.5
30;13617790;21.7;22.7;17.8;17.1;20.0
31;14585324;16.6;26.3;6.9;15.4;34.2
32;11802374;14.2;23.0;7.1;23.6;32.0
33;27776787;22.6;22.9;11.7;15.4;24.1
34;26766752;10.7;20.5;12.3;16.1;40.5
35;13353717;6.6;16.6;0.7;15.6;59.5
36;18492709;22.6;22.9;11.7;15.4;24.1
37;16949699;38.5;26.4;20.8;9.9;0.2
38;20891259;19.7;18.7;21.1;19.4;0.0
39;18680283;20.9;17.8;15.7;33.3;10.1
40;27866607;15.0;27.1;27.9;15.7;14.3
41;21931910;26.4;24.4;16.2;14.3;17.1
42;23562415;22.9;14.5;24.1;19.3;16.9
43;28077024;18.6;27.5;17.6;24.5;5.9
44;15747773;15.0;18.7;10.0;15.3;40.4
45;25944260;9.6;19.1;11.7;16.0;42.3
46;26042588;15.4;16.6;29.1;17.7;21.1
47;20213474;9.5;18.4;7.8;15.8;48.2
48;28600931;7.6;14.1;8.8;15.4;53.7
49;26732736;2.8;8.8;4.1;16.5;67.1
50;23409855;12.7;27.8;15.8;17.5;25.6
51;12091107;16.1;23.9;16.7;21.9;20.6
52;17494486;32.1;23.1;28.7;11.4;3.8
53;19841907;3.7;15.9;10.6;25.4;41.9
54;15776785;19.1;22.0;18.4;16.9;23.2
55;25616484;9.4;18.0;10.5;26.5;35.6
56;13034788;44.1;14.3;18.4;14.7;7.6
57;25592035;12.3;42.0;13.6;19.8;9.9
58;12782121;16.4;22.5;17.8;22.9;20.4
59;12127700;5.9;12.3;7.1;12.4;61.2
60;23816069;7.8;17.1;2.6;22.9;47.3
61;19339735;20.3;20.4;20.6;16.9;21.4
62;13112506;30.2;26.2;21.1;15.0;4.1
63;27197804;29.8;16.9;17.4;24.3;11.3
64;12528714;13.8;22.2;33.5;21.2;9.4
65;28918732;31.4;28.8;22.7;6.9;5.7
66;15314076;20.9;24.3;8.3;16.0;29.6
67;16620292;33.8;26.4;21.1;10.4;3.8
68;25039877;13.5;25.1;24.2;16.9;20.3
69;13546802;23.9;19.5;22.3;20.4;11.9
70;16105098;27.5;21.8;18.2;12.5;17.6
71;28140589;13.8;31.0;6.2;20.7;28.3
73;17191558;18.1;8.8;7.7;13.0;49.0
74;20889663;12.6;20.2;31.9;11.8;23.5
75;23905518;26.3;16.7;26.2;23.3;7.6
76;17027719;33.3;27.0;23.5;10.7;0.6
77;22825819;28.9;30.5;20.3;10.2;10.1
78;22688211;24.4;14.2;35.1;13.5;9.9
79;27821090;14.2;26.7;10.4;14.3;34.4
80;27638446;15.3;25.1;19.5;19.0;21.1
81;24567421;55.3;10.9;16.9;12.9;0.0
82;20424250;26.6;21.7;22.4;16.1;12.6
83;28481213;24.2;28.9;14.5;15.5;16.2
84;25562646;32.4;23.8;24.8;15.2;0.0
85;9688835;18.3;22.1;15.4;20.2;24.0
86;19867455;24.7;24.6;25.0;16.3;7.9
87;14048581;13.5;21.0;28.1;21.2;12.5
88;20391586;14.7;23.0;24.3;20.8;16.7
89;20592166;17.0;19.5;10.0;16.9;35.8
90;21050591;19.3;23.1;24.9;22.2;10.5
91;10348860;12.0;22.8;17.4;16.3;31.5
92;23906629;12.7;24.5;11.6;22.7;28.5
93;22508026;23.5;20.6;25.1;17.1;13.3
94;20193179;16.4;17.4;15.3;24.3;26.7
95;12639093;11.8;25.2;7.9;25.6;28.9
96;13068017;26.1;21.4;25.0;14.0;12.6
97;21040246;8.4;25.4;12.2;17.3;36.7
98;9178683;21.1;21.0;21.6;12.5;23.2
99;28694284;16.1;27.1;8.3;18.3;30.2
100;14600164;22.5;23.0;4.7;14.2;35.4
101;22872807;18.5;12.0;17.5;19.4;32.3
102;21223551;17.6;25.0;25.7;18.6;12.4
104;15499808;24.0;28.5;21.8;14.0;11.2
105;15923519;47.0;12.0;18.1;6.0;0.0
106;10103255;2.2;15.4;2.5;9.3;69.1
107;12106357;14.9;27.9;8.3;17.0;31.9
108;23573928;22.8;20.5;19.5;10.3;0.0
109;16496436;11.1;23.3;22.2;28.2;9.0
110;18000194;7.1;13.7;11.3;21.0;46.9
111;19091698;22.6;27.1;25.4;20.1;0.3
