TYPE_HABITATION_ID;ID_REMAX;MAISONS_INDIVIDUELLES;JUMELEES_OU_EN_RANGEES;DUPLEX;IMMEUBLES_1_A_4_ETAGES;IMMEUBLES_5_ETAGES_PLUS
1;26013325;81.5;8.2;8.2;0.0;0.0
2;19909549;96.2;1.9;0.4;0.8;0.0
3;14372056;14.8;3.0;0.0;76.4;5.2
4;14923360;81.7;3.6;5.3;7.7;0.0
5;14279516;35.7;8.4;8.5;46.8;0.0
6;22027607;50.5;4.6;5.5;39.3;0.0
7;26888978;70.9;4.4;17.1;6.2;0.0
8;22084186;98.3;0.0;1.7;0.0;0.0
9;14371921;86.0;3.4;9.0;0.1;0.0
10;12981836;97.8;0.0;0.0;2.2;0.0
11;19292461;38.2;15.7;3.8;42.3;0.0
12;13917785;35.7;8.4;8.5;46.8;0.0
13;17535365;14.8;5.0;17.7;61.5;0.0
14;21264976;24.7;24.0;27.3;21.9;1.2
15;14551882;43.2;26.7;1.1;28.9;0.0
16;19145651;49.9;10.8;7.1;32.2;0.0
17;22519373;25.1;5.3;30.5;38.5;0.2
18;12865880;32.3;4.6;8.9;53.3;0.0
19;9736715;65.2;26.9;1.3;1.0;5.6
20;28362642;78.9;1.8;8.8;5.3;0.0
21;17546793;51.2;10.2;1.5;26.2;11.0
22;15982544;67.9;16.8;2.5;6.6;4.4
23;10038716;77.9;0.8;6.6;13.9;0.0
24;11590805;75.8;4.3;2.3;17.6;0.0
25;13266413;89.6;7.1;0.5;2.3;0.0
26;20681756;23.6;36.7;0.1;38.1;0.0
27;14627185;78.6;4.6;2.3;1.8;0.0
28;13637247;60.1;16.0;0.0;23.8;0.0
29;21647717;45.8;1.4;11.2;35.7;5.9
30;13617790;96.2;1.9;0.4;0.8;0.0
31;14585324;33.3;19.9;0.0;32.2;14.4
32;11802374;91.1;1.8;0.5;6.0;0.0
33;27776787;35.7;8.4;8.5;46.8;0.0
34;26766752;89.0;10.2;0.0;0.8;0.0
35;13353717;19.0;26.2;6.4;25.6;22.8
36;18492709;35.7;8.4;8.5;46.8;0.0
37;16949699;75.8;5.3;4.7;11.9;0.0
38;20891259;45.7;9.4;1.1;43.8;0.0
39;18680283;92.4;0.1;7.4;0.1;0.0
40;27866607;97.6;0.0;1.2;0.0;0.0
41;21931910;75.1;3.5;4.9;9.5;6.1
42;23562415;95.6;2.2;0.0;2.2;0.0
43;28077024;96.8;0.0;1.6;1.6;0.0
44;15747773;0.3;5.0;6.9;84.9;2.9
45;25944260;6.8;18.0;0.0;40.3;34.0
46;26042588;69.3;4.4;20.0;6.3;0.0
47;20213474;86.1;7.4;1.1;5.4;0.0
48;28600931;16.2;14.1;5.5;63.7;0.4
49;26732736;4.3;19.3;0.9;15.6;59.8
50;23409855;70.5;0.7;1.3;4.9;22.0
51;12091107;49.0;46.9;3.8;0.0;0.0
52;17494486;84.8;0.9;10.4;1.3;0.0
53;19841907;90.2;0.0;6.8;3.0;0.0
54;15776785;86.2;3.0;10.0;0.8;0.0
55;25616484;87.7;9.0;2.9;0.0;0.0
56;13034788;89.3;0.7;1.4;5.4;0.0
57;25592035;93.9;3.0;3.0;0.0;0.0
58;12782121;39.9;50.1;1.0;8.1;0.0
59;12127700;0.0;0.8;0.1;61.2;37.8
60;23816069;97.7;0.4;0.0;0.7;1.3
61;19339735;84.3;0.1;12.6;3.0;0.0
62;13112506;51.5;1.6;11.4;34.3;0.0
63;27197804;97.9;0.4;0.0;1.4;0.0
64;12528714;91.0;2.0;5.0;1.0;0.0
65;28918732;84.8;1.9;2.3;8.4;0.0
66;15314076;28.9;7.3;18.5;32.8;11.4
67;16620292;29.4;1.7;19.4;48.0;0.8
68;25039877;91.1;1.8;3.6;3.2;0.0
69;13546802;94.5;2.9;1.5;0.9;0.0
70;16105098;2.5;9.0;24.9;60.9;0.5
71;28140589;98.3;0.0;1.8;0.0;0.0
73;17191558;7.8;2.5;13.1;31.3;45.3
74;20889663;91.2;1.6;2.4;4.0;0.0
75;23905518;78.1;11.1;3.6;6.6;0.0
76;17027719;30.6;0.4;29.0;37.7;0.0
77;22825819;70.6;22.7;1.7;4.2;0.0
78;22688211;50.7;4.4;21.7;22.4;0.0
79;27821090;0.8;1.0;0.0;8.2;90.0
80;27638446;74.1;0.0;10.5;13.5;0.0
81;24567421;77.2;4.1;4.1;14.5;0.0
82;20424250;80.3;7.4;3.7;6.2;0.0
83;28481213;9.7;6.7;0.1;83.5;0.0
84;25562646;39.1;1.4;13.0;39.1;0.0
85;9688835;92.3;3.1;1.5;3.1;0.0
86;19867455;52.5;25.9;0.3;19.7;0.0
87;14048581;98.6;1.3;0.0;0.1;0.0
88;20391586;10.4;13.0;0.4;76.2;0.0
89;20592166;1.9;4.5;10.7;81.5;0.9
90;21050591;42.7;4.8;9.2;43.3;0.0
91;10348860;66.5;1.9;5.9;3.5;0.0
92;23906629;13.4;10.4;0.2;72.8;3.2
93;22508026;46.5;7.7;13.1;11.7;0.0
94;20193179;86.9;1.5;7.3;3.2;0.0
95;12639093;83.9;7.0;0.1;7.3;0.0
96;13068017;55.9;17.8;5.8;17.9;0.0
97;21040246;56.4;21.1;8.0;13.6;0.0
98;9178683;57.4;1.0;13.9;24.3;0.0
99;28694284;97.7;0.0;0.4;1.2;0.0
100;14600164;0.2;3.2;2.9;52.5;40.8
101;22872807;53.7;6.7;6.7;32.8;0.0
102;21223551;65.0;8.4;9.7;13.3;0.0
104;15499808;99.0;1.0;0.0;0.0;0.0
105;15923519;85.1;4.3;6.4;4.3;0.0
106;10103255;0.2;1.4;0.1;12.8;85.4
107;12106357;31.7;3.7;4.6;35.8;23.7
108;23573928;60.9;9.4;6.6;22.8;0.0
109;16496436;62.3;10.3;5.3;22.1;0.0
110;18000194;97.2;0.4;2.4;0.0;0.0
111;19091698;53.7;3.2;37.0;6.1;0.0
112;11083640;10.6;6.0;0.2;64.3;18.2
113;24048180;59.1;7.2;14.5;18.9;0.0
114;23054979;0.5;1.4;4.2;76.8;17.2
115;17430485;30.5;5.0;12.4;50.5;0.9
116;24750235;94.5;1.1;0.0;0.0;0.0
117;24551060;97.1;0.0;0.0;1.5;0.0
118;27912525;47.3;34.3;0.3;17.9;0.0
119;17214946;46.3;27.0;5.6;20.9;0.0
120;18635892;74.9;6.0;17.1;2.0;0.0
121;13883834;61.2;0.6;2.9;25.9;9.4
122;15169421;97.2;2.5;0.3;0.0;0.0
123;14672564;64.7;4.9;2.4;27.4;0.0
124;22717879;73.1;5.0;2.1;17.0;2.5
125;24504347;63.8;5.5;12.5;17.8;0.1
126;28114114;0.0;0.8;0.2;25.3;73.7
127;14424243;2.4;3.6;17.0;60.1;16.4
128;25346029;44.5;17.1;10.6;26.5;0.0
129;18541673;26.2;26.8;5.2;41.6;0.2
130;13801127;35.9;19.4;0.0;42.7;0.0
131;27695312;16.2;14.2;5.5;63.9;0.2
132;15739398;73.4;8.5;1.3;16.6;0.0
133;19433427;87.8;3.8;3.7;3.7;0.0
134;21112889;92.0;2.7;1.3;0.0;0.0
135;14932892;2.8;6.8;17.5;62.3;9.7
136;20835389;88.4;2.3;4.7;2.3;0.0
137;18880929;51.4;20.5;6.4;21.6;0.0
138;19473963;88.8;3.0;0.0;1.0;0.0
139;23664618;21.1;30.7;0.0;46.7;0.0
140;24669182;2.2;0.0;1.3;73.6;22.8
103;16679095;0.1;0.0;0.0;0.0;0.0
141;12903107;46.1;0.0;6.4;46.7;0.0
142;13571911;63.2;21.6;0.3;14.9;0.0
144;13187008;91.1;2.2;2.2;4.4;0.0
145;28575678;79.6;9.8;0.0;9.4;0.0
146;20329916;95.1;2.0;2.9;0.0;0.0
147;17358466;83.2;5.5;0.6;9.9;0.0
148;14343496;0.2;3.7;6.5;85.7;3.2
149;13609945;55.8;1.7;7.7;33.8;0.0
150;23692670;97.1;0.0;0.0;1.5;0.0
151;25697169;79.8;4.1;3.4;11.8;0.0
152;20628129;90.9;0.0;2.3;4.5;0.0
154;10396930;0.1;4.1;11.6;76.9;6.3
155;25487257;64.3;15.0;0.3;20.4;0.0
156;23378298;63.0;12.9;2.3;21.9;0.0
157;16277466;4.9;10.4;64.6;18.6;1.5
158;19721870;64.9;27.7;0.4;5.3;0.0
159;25854126;65.1;13.7;7.5;3.1;0.0
160;11607572;67.8;23.1;2.2;0.1;0.0
161;26861233;72.1;16.8;1.1;8.4;0.0
162;19168526;67.9;16.3;4.7;3.8;0.0
163;13704063;24.5;16.9;1.6;56.9;0.2
164;13651583;65.4;19.6;0.0;14.9;0.0
165;22045283;94.6;0.2;1.3;3.9;0.0
166;20814596;67.2;15.4;1.5;15.9;0.0
167;28494223;4.7;16.6;12.5;54.0;12.3
168;18524327;88.6;2.3;0.0;9.1;0.0
169;10109479;94.3;0.5;4.3;0.3;0.0
170;22359958;0.1;0.8;7.9;75.3;15.8
171;27644262;0.1;7.3;0.0;22.9;69.5
174;27271017;96.1;3.9;0.0;0.0;0.0
175;23161384;0.0;0.2;0.1;12.6;86.8
176;13469831;92.7;6.0;0.0;0.0;0.0
177;15923007;13.7;3.3;6.8;72.4;1.9
179;18993519;18.3;24.3;0.1;56.7;0.0
180;11318012;19.0;1.4;1.7;66.6;11.2
181;22871949;26.1;1.9;21.5;35.6;13.3
182;22174598;20.9;5.5;0.2;73.3;0.0
183;17569112;13.8;15.6;0.0;70.1;0.0
184;10358728;39.9;3.3;3.2;53.6;0.0
185;25193175;54.5;19.8;1.8;22.4;0.0
186;26327498;36.4;11.5;2.6;49.4;0.0
187;18152911;10.8;21.3;25.5;24.7;17.7
188;25345113;42.6;49.7;0.0;5.5;0.0
