TYPE_MENAGE_ID;ID_REMAX;PERSONNES_VIVANT_SEULES;COUPLES_AVEC_ENFANTS;COUPLES_SANS_ENFANT
1;26013325;27.1;27.6;45.3
2;19909549;31.5;19.6;48.9
3;14372056;27.0;14.2;58.8
4;14923360;29.9;23.3;46.8
5;14279516;39.4;35.2;25.4
6;22027607;34.2;21.1;44.7
7;26888978;27.4;32.3;40.3
8;22084186;36.2;12.0;51.8
9;14371921;23.7;37.1;39.1
10;12981836;34.0;7.3;58.6
11;19292461;23.8;38.5;37.7
12;13917785;39.4;35.2;25.4
13;17535365;63.0;13.5;23.5
14;21264976;43.5;15.3;41.2
15;14551882;18.4;47.6;34.0
16;19145651;30.3;33.5;36.2
17;22519373;45.6;18.2;36.1
18;12865880;44.5;31.2;24.2
19;9736715;16.7;48.2;35.0
20;28362642;27.6;32.2;40.2
21;17546793;23.3;38.2;38.5
22;15982544;19.0;46.8;34.1
23;10038716;27.8;29.0;43.2
24;11590805;16.8;50.3;33.0
25;13266413;14.3;44.2;41.4
26;20681756;24.2;51.9;24.0
27;14627185;22.2;41.4;36.4
28;13637247;19.1;52.6;28.3
29;21647717;37.7;26.7;35.6
30;13617790;31.5;19.6;48.9
31;14585324;32.0;37.4;30.5
32;11802374;17.1;55.1;27.8
33;27776787;39.4;35.2;25.4
34;26766752;14.4;47.0;38.6
35;13353717;31.8;39.6;28.6
36;18492709;39.4;35.2;25.4
37;16949699;29.1;34.1;36.8
38;20891259;27.3;45.5;27.2
39;18680283;30.7;32.3;37.0
40;27866607;31.4;24.6;44.0
41;21931910;29.9;36.1;34.0
42;23562415;26.1;35.6;38.3
43;28077024;36.1;24.0;40.0
44;15747773;50.7;21.6;27.8
45;25944260;47.1;18.3;34.5
46;26042588;17.0;56.3;26.7
47;20213474;9.6;58.6;31.8
48;28600931;34.2;35.8;30.0
49;26732736;42.9;24.6;32.5
50;23409855;26.4;46.3;27.4
51;12091107;12.2;55.4;32.4
52;17494486;16.3;50.7;33.0
53;19841907;22.4;41.9;35.7
54;15776785;31.6;20.9;47.5
55;25616484;12.1;66.8;21.1
56;13034788;28.9;29.8;41.2
57;25592035;12.1;40.6;47.3
58;12782121;18.5;47.5;34.0
59;12127700;52.3;13.1;34.7
60;23816069;7.0;56.6;36.5
61;19339735;40.3;23.7;36.0
62;13112506;37.4;22.3;40.3
63;27197804;36.9;15.6;47.5
64;12528714;15.0;47.1;37.9
65;28918732;25.3;34.9;39.9
66;15314076;25.5;48.9;25.7
67;16620292;33.5;29.5;37.0
68;25039877;31.0;14.8;54.1
69;13546802;14.2;51.4;34.4
70;16105098;47.5;19.7;32.9
71;28140589;10.3;44.8;44.8
73;17191558;57.8;11.0;31.2
74;20889663;26.8;22.9;50.3
75;23905518;29.0;36.0;35.0
76;17027719;51.6;15.6;32.7
77;22825819;17.8;45.4;36.8
78;22688211;32.4;30.4;37.2
79;27821090;52.9;4.5;42.6
80;27638446;36.2;16.8;47.0
81;24567421;31.3;29.5;39.3
82;20424250;32.1;23.6;44.3
83;28481213;47.8;16.2;36.0
